tract,state,county,study_region,mean_commute_time,short_commute_share,job_density_2013,jobs_within_5mi,highpay_jobs_5mi,pop_density_2010,rent_2bed_2015,med_income_2016
00000107800,36,47,Brooklyn Baseline,50.12867,0.062530063,3015.3062,355818,151651,19637.756,1191,63563
00000109800,36,47,Brooklyn Baseline,49.82069,0.083547555,5251.5151,424458,166571,5809.0908,1466,46701
00000110400,36,47,Brooklyn Baseline,51.527851,0.075417385,13020.906,377642,151976,15184.669,943,45278
00000110600,36,47,Brooklyn Baseline,44.838181,0.082444921,378.78787,358090,145781,65318.184,508,22321
00000111000,36,47,Brooklyn Baseline,44.972858,0.043721974,375,361422,148435,67000,457,16449
00000111600,36,47,Brooklyn Baseline,50.702545,0.069351234,10025.906,386335,163640,18051.813,1540,37917
00000111800,36,47,Brooklyn Baseline,53.248161,0.047508691,571.42859,413086,172745,48460.316,1307,35313
00000112000,36,47,Brooklyn Baseline,51.616928,0.043396227,1567.1642,382570,158597,47089.551,1315,25669
00000112200,36,47,Brooklyn Baseline,48.713226,0.059194949,1063.4921,397563,163767,53507.938,1314,29699
00000112400,36,47,Brooklyn Baseline,54.448181,0.052881356,2028.9856,417723,170448,49507.246,1248,44489
00000112600,36,47,Brooklyn Baseline,51.483948,0.11032657,3523.0771,451271,182989,58200.004,1091,41097
00000112800,36,47,Brooklyn Baseline,52.909012,0.023384616,1521.1267,425450,173264,53830.984,1310,38987
00000113000,36,47,Brooklyn Baseline,52.795639,0.08015769,959.99994,464879,188973,51879.996,1256,28164
00000113200,36,47,Brooklyn Baseline,48.887341,0.061139897,987.013,475453,192603,25155.844,NA,50952
